"ID","ISDELETED","ACCOUNTID","ISPRIVATE","NAME","DESCRIPTION","STAGENAME","AMOUNT","PROBABILITY","EXPECTEDREVENUE","TOTALOPPORTUNITYQUANTITY","CLOSEDATE","TYPE","NEXTSTEP","LEADSOURCE","ISCLOSED","ISWON","FORECASTCATEGORY","FORECASTCATEGORYNAME","CAMPAIGNID","HASOPPORTUNITYLINEITEM","PRICEBOOK2ID","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","PUSHCOUNT","LASTSTAGECHANGEDATE","FISCALQUARTER","FISCALYEAR","FISCAL","CONTACTID","LASTVIEWEDDATE","LASTREFERENCEDDATE","HASOPENACTIVITY","HASOVERDUETASK","LASTAMOUNTCHANGEDHISTORYID","LASTCLOSEDATECHANGEDHISTORYID","DELIVERYINSTALLATIONSTATUS__C","TRACKINGNUMBER__C","ORDERNUMBER__C","CURRENTGENERATORS__C","MAINCOMPETITORS__C"
"006gK000000GUrlQAG",0,"001gK00000273cmQAA",0,"Dickenson Mobile Generators",,"Qualification",15000.0,10.0,1500.0,,"01/30/2025 00:00:00","New Customer",,"Purchased List",0,0,"Pipeline","Pipeline",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,1,2015,"2015 1",,,,0,0,,,,,,,"Honda"
"006gK000000GUrmQAG",0,"001gK00000273coQAA",0,"United Oil Office Portable Generators",,"Negotiation/Review",125000.0,90.0,112500.0,,"01/18/2025 00:00:00","Existing Customer - Upgrade",,,0,0,"Pipeline","Pipeline",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,1,2015,"2015 1",,,,0,0,,,,,,"Yamaha","Yamaha"
"006gK000000GUrnQAG",0,"001gK00000273cpQAA",0,"Express Logistics Standby Generator",,"Closed Won",220000.0,100.0,220000.0,,"12/14/2024 00:00:00","New Customer",,"Trade Show",1,1,"Closed","Closed",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,1,2015,"2015 1",,,,0,0,,,,"830150301420","653276","Hawkpower","Fujitsu"
"006gK000000GUroQAG",0,"001gK00000273ctQAA",0,"GenePoint Standby Generator",,"Closed Won",85000.0,100.0,85000.0,,"01/21/2025 00:00:00","New Customer",,"Partner",1,1,"Closed","Closed",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,1,2015,"2015 1",,,,0,0,,,"Completed","830150301420","908676","Honda","Honda"
"006gK000000GUrpQAG",0,"001gK00000273cnQAA",0,"Grand Hotels Kitchen Generator",,"Id. Decision Makers",15000.0,60.0,9000.0,,"12/09/2024 00:00:00","Existing Customer - Upgrade",,,0,0,"Pipeline","Pipeline",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,1,2015,"2015 1",,,,0,0,,,"Yet to begin",,,"John Deere","Fujitsu, Hawkpower"
"006gK000000GUrqQAG",0,"001gK00000273coQAA",0,"United Oil Refinery Generators",,"Proposal/Price Quote",270000.0,75.0,202500.0,,"03/04/2025 00:00:00","Existing Customer - Upgrade",,,0,0,"Pipeline","Pipeline",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,2,2015,"2015 2",,,,0,0,,,"Yet to begin",,,"Caterpillar","John Deere"
"006gK000000GUrrQAG",0,"001gK00000273coQAA",0,"United Oil SLA",,"Closed Won",120000.0,100.0,120000.0,,"03/11/2025 00:00:00","Existing Customer - Upgrade",,"Partner",1,1,"Closed","Closed",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,2,2015,"2015 2",,,,0,0,,,"In progress",,"926363",,
"006gK000000GUrsQAG",0,"001gK00000273cnQAA",0,"Grand Hotels Guest Portable Generators",,"Value Proposition",250000.0,50.0,125000.0,,"03/19/2025 00:00:00","Existing Customer - Upgrade",,"Employee Referral",0,0,"Pipeline","Pipeline",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,2,2015,"2015 2",,,,0,0,,,"Yet to begin",,,"Honda","Honda"
"006gK000000GUrtQAG",0,"001gK00000273cjQAA",0,"Edge Emergency Generator",,"Closed Won",75000.0,100.0,75000.0,,"03/19/2025 00:00:00","New Customer",,"Word of mouth",1,1,"Closed","Closed",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,2,2015,"2015 2",,,,0,0,,,"Completed","830150301420","731645","John Deere","John Deere"
"006gK000000GUruQAG",0,"001gK00000273cqQAA",0,"University of AZ Portable Generators",,"Closed Won",50000.0,100.0,50000.0,,"12/18/2024 00:00:00","New Customer",,"Public Relations",1,1,"Closed","Closed",,0,,"005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27","005gK0000011GBpQAM","03/24/2025 16:31:27",,0,,1,2015,"2015 1",,,,0,0,,,"Completed","830150301360","768934","Mitsubishi","Honda, Mitsubishi"
